Название,Цена,Картинка,Характеристика
"Ноутбук Lenovo ThinkBook 15 G2 15.6"" Intel Core i3-1115G4 11th Gen/ Intel UHD Graphics (4+256GB SSD) Finger Print + BAG",33700сом,https://softech.kg/image/cache/a290d9032cf602c13d3f865e62395104.jpg,На пике продуктивностиБлагодаря передовым процессорам Intel® Core.....
"Ноутбук Lenovo IdeaPad Flex 5i Touchscreen 13.3"" Intel Core i3-1115G4 11th Gen/‎Intel UHD Graphics (8+128GB SSD) Chrome OS",33300сом,https://softech.kg/image/cache/5a3eaad94d89fb852937bc9fc6bfe84c.jpg,Ноутбук для максимальной скорости и простотыДелайте больше с Chro.....
"Ноутбук Lenovo Flex 5 Touchscreen 14"" AMD Ryzen R5-4500U/Radeon Vega Graphics (16+256GB SSD)",62900сом,https://softech.kg/image/cache/fb8eaded1d540c55e39897b6337c9a35.jpg,"Воплотите свои идеи в жизньКогда приходит вдохновение, воспользуй....."
"Ноутбук Lenovo Flex 5 Touchscreen 14"" AMD Ryzen R5-5500U/Radeon Vega Graphics (16+256GB SSD)",62900сом,https://softech.kg/image/cache/fb8eaded1d540c55e39897b6337c9a35.jpg,"Воплотите свои идеи в жизньКогда приходит вдохновение, воспользуй....."
"Ноутбук Lenovo Flex 5 Touchscreen 14"" AMD Ryzen R5-5500U/Radeon Vega Graphics (16+512GB SSD)",64400сом,https://softech.kg/image/cache/fb8eaded1d540c55e39897b6337c9a35.jpg,"Воплотите свои идеи в жизньКогда приходит вдохновение, воспользуй....."
"Ноутбук Lenovo Flex Touchscreen 14"" 2019 AMD Ryzen R5-3500U/Radeon Vega 8 (12+256GB SSD)",57900сом,https://softech.kg/image/cache/e90aa4ebb79f158ac4256e53e15e27a9.jpg,Время добиваться большегоБлагодаря до 8 часам автономной работы в.....
"Ноутбук Lenovo IdeaPad 1 14"" Intel Celeron N4020/Intel UHD Graphics 600 (4+64GB SSD)",23700сом,https://softech.kg/image/cache/5360e6974c6e91396fea582087597f0c.jpg,Компаньон в путешествииКомпактный размер и небольшой вес IdeaPad .....
"Ноутбук Lenovo IdeaPad 1 14"" Intel Celeron N5030/Intel UHD Graphics 600 (4+128GB SSD)",26700сом,https://softech.kg/image/cache/5360e6974c6e91396fea582087597f0c.jpg,Компаньон в путешествииКомпактный размер и небольшой вес IdeaPad .....
"Ноутбук Lenovo IdeaPad 3 14"" AMD Ryzen 5-5500U/AMD Radeon Graphics (8+256GB SSD)",50900сом,https://softech.kg/image/cache/feb79f5c2c81d99d76840d76448865b2.jpg,Продолжительная работаLenovo IdeaPad 3 - это идеальный ноутбук с .....
"Ноутбук Lenovo IdeaPad 3 14"" AMD Ryzen R5-3500U/Radeon Vega 8 (8+256GB SSD)",45900сом,https://softech.kg/image/cache/feb79f5c2c81d99d76840d76448865b2.jpg,Продолжительная работаLenovo IdeaPad 3 - это идеальный ноутбук с .....
"Ноутбук Lenovo IdeaPad 3 14"" Intel Core i3-1005G1/Intel UHD Graphics (4+128GB SSD)",35900сом,https://softech.kg/image/cache/705ff9004225e8c3ba1aaef4a7017025.jpg,Производительность в каждой деталиИспользуйте самые сложные прогр.....
"Ноутбук Lenovo IdeaPad 3 14"" Intel Core i3-1115G4/Intel UHD Graphics (8+256GB SSD)",42900сом,https://softech.kg/image/cache/1df44faeeaf26828f459f59cf2edb130.jpg,Производительность в каждой деталиИспользуйте самые сложные прогр.....
"Ноутбук Lenovo IdeaPad 3 15 TouchScreen 15.6"" Intel Core i3-10110U/Intel UHD Graphics (8+256GB SSD)",41900сом,https://softech.kg/image/cache/11c5e8bdc7575e31906649ae1f257b75.jpg,Продолжительная работаLenovo IdeaPad 3 TouchScreen - это идеальны.....
"Ноутбук Lenovo IdeaPad 3 15"" AMD Ryzen R3-3250U/Radeon Vega 3 (4+128GB SSD)",36650сом,https://softech.kg/image/cache/e7e74db6edb8419ff299e47733bbccd7.jpg,Продолжительная работаLenovo IdeaPad 3 - это идеальный ноутбук с .....
"Ноутбук Lenovo IdeaPad 3 Laptop 15,6"" AMD Ryzen 5 5500U/AMD Radeon 7 Graphics (8+512GB)",54900сом,https://softech.kg/image/cache/e7e74db6edb8419ff299e47733bbccd7.jpg,Продолжительная работаLenovo IdeaPad 3 - это идеальный ноутбук с .....
"Ноутбук Lenovo IdeaPad 3i 15.6"" Core i5-1235U 12th Gen/Intel Iris Xe Graphics G7 (8+512GB SSD)",54400сом,https://softech.kg/image/cache/f5a9a3286358c249740866cb59b3a2e2.jpg,"Поднять планкуРаботайте, учитесь и творите где угодно с тонким и ....."
"Ноутбук Lenovo Ideapad 3i Gaming 15.6"" Intel Core i5-12500H/NVIDIA GeForce RTX 3050 (8+512GB SSD)",73700сом,https://softech.kg/image/cache/274121b0adeca0a92ddc72b0a2aabc38.jpg,Переходите на новый уровеньПерейдите на новый уровень игрового пр.....
"Ноутбук Lenovo IdeaPad Gaming 3 15.6"" Ryzen 5-5600H/NVIDIA GeForce GTX 1650 (8+256GB SSD)",77900сом,https://softech.kg/image/cache/3dd5e86ca509bbbe12db405a300d6b24.jpg,Время перейти на новый уровеньНаслаждайтесь качеством игр категор.....
